video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"oGn9wIG2FDU","Luísa Sonza - Boa Menina","2018-10-30T23:00:04.000Z","UC86eIToNMw7jcyDPmWhRq6Q","LuisaSonzaVEVO","10","18.01.11","Luísa|Sonza|Boa|Menina|Universal|Music|International|Ltda.|Pop|luisa sonza|boa menina|whinderson|devagarinho|luisa|luiza sonza","1585731","179278","69901","30344","https://i.ytimg.com/vi/oGn9wIG2FDU/default.jpg","False","False","Clique aqui e ouça a música: https://umusicbrazil.lnk.to/BoaMeninaYD SIGA LUÍSA SONZA:https://www.facebook.com/LuisaSonza  https://twitter.com/luisasonza  https://www.instagram.com/luisasonzaBoa Menina(Arthur Marques / Diego Timbó / Luisa Sonza / Renan Soares da Costa)Cansei da sua cara e do que você falaDesculpa mas não tenho tempo pra ouvirEu já não sei o que tu tá fazendo aquiEntão se manda, andaNem é bom de camaFala, fala, fala, mas na hora HJá tô em outra, soltaCom as amigas, loucaSe não entendeu, eu vou explicarREFRÃO:Não deixem te dizerO que deve fazerCê vai lembrar de mimUma boa menina faz assimSeu jogo acabouE o baile começouCê vai lembrar de mimUma boa menina faz assimUma boa menina rebola assimSenta assim, quica assimNão me interessa o que pensam de mimEu sento assim, eu quico assimDireção Artística: Miguel CarielloGerente Artístico: Miguel AfonsoCoordenação Artística: Fernanda Mesa, Igor Alarcon, Marina Furtado e Patricia AidasLabel Manager: Tatiana AlvesIntérprete: Luisa Sonza Autores: Luisa Sonza, Diego Timbó, Arthur Marques, ThaiDireçao: Jacques DequekerCo Direcao: Luisa SonzaFotografia: Jacques DequekerProtudota: DQKER fashion filmesMontador: Paulo GodoyBeaty: LavosierProdução musical: Arthur Marques e DJ ThaiMixagem: Rafael FadulEmpresariamento: Mynd8Music video by Luísa Sonza performing Boa Menina. © 2018 Universal Music Internationalhttp://vevo.ly/A6AtXu"
"W5xH_QtgahY","MASTERCHEF PROFISSIONAIS (30/10/2018) | PARTE 2 | EP 11 | TEMP 03","2018-10-31T08:02:00.000Z","UC2EWGw-KBjEReUbXMJEiaCA","MasterChef Brasil","24","18.01.11","masterchef brasil|masterchef temporada 5|masterchef profissionais|masterchef pro|participantes do masterchef 2018|masterchef 30\/10\/2018|masterchef brasil 2018|masterchef 30/10/2018|participantes masterchef 2018|masterchefbrasil|assistir masterchef online|assistir tv online|assistir band ao vivo|masterchef ao vivo|masterchef online|master chef|masterchef 2018|quem saiu do masterchef|eliminado masterchef 2018|paola carosella|erick jacquin|henrique fogaça","764890","13586","364","1249","https://i.ytimg.com/vi/W5xH_QtgahY/default.jpg","False","False","Essa dica faz parte do Manual do Adulto. Curtiu? Acesse e conheça todas dicas que CIF preparou pra você: http://bit.ly/2MiMitfAssista à Parte 2 do Episódio 11 de MasterChef Profissionais - 3ª Temporada. O #MasterChefBrasil está no YouTube, inscreva-se no canal: https://goo.gl/hcUL7X. Loja Oficial: https://goo.gl/B3F9nL | MasterChef em Casa: https://goo.gl/5rui9Q | Linha Vivara: https://goo.gl/4gtnLr | AVON: https://goo.gl/ES1Za9 Conheça os Produtos #MasterChef:Avon: https://goo.gl/ZzMmNrLesGourmands: https://goo.gl/xgLP8SVivara: https://goo.gl/5hMkfeCandide Brinquedos: https://goo.gl/Zd8dpQAssista também: Dicas MasterChef: https://goo.gl/nBOlsjMasterChef Brasil | 5ª Temporada (Completa): https://goo.gl/89k8vMMasterChef Brasil | 4ª Temporada (Completa): https://goo.gl/1CnxiCMasterChef Brasil | 3ª Temporada (Completa): https://goo.gl/Pln6aK MasterChef Brasil | 2ª Temporada (Completa): https://goo.gl/s6tFMx MasterChef Brasil | 1ª Temporada (Completa): https://goo.gl/KHOFQA MasterChef Junior Brasil | 1ª Temporada (Completa): https://goo.gl/ZGGRk9 #MasterChefProfissionais | 1ª Temporada (Completa):https://goo.gl/dPwI3Y MasterChef Profissionais| 2ª Temporada (Completa): https://goo.gl/9YaQabBAIXE O APLICATIVO MASTERCHEF BRGoogle Play: https://goo.gl/gHw1KmApp Store: https://goo.gl/zLuXI8"
"9cCc_4yXIKI","Entrevista com Cabo Daciolo | The noite (29/10/18)","2018-10-30T15:02:05.000Z","UCEWOoncsrmirqnFqxer9lmA","The Noite com Danilo Gentili","24","18.01.11","cabo daciolo|the noite|danilo gentili|candidato|cabo daciolo no the noite","2744190","230435","5618","21527","https://i.ytimg.com/vi/9cCc_4yXIKI/default.jpg","False","False","O The Noite Com Danilo Gentili traz muitos entrevistados interessantes e alto índice de piadas por minuto, abordando os fatos mais (e menos) relevantes do dia. A atração também conta com Léo Lins, Murilo Couto, a assistente de palco Juliana, além do irreverente locutor Diguinho Coruja. A trilha sonora fica por conta da banda Ultraje a Rigor e os comentários inteligentes são cortesia do vocalista Roger Moreira, que é requisitado no quadro O Homem do QI 200 toda vez que surge algum problema.Veja mais em: www.sbt.com.br/thenoite/Inscreva-se no canal do The Noite: www.youtube.com/sbtthenoiteCurta a página do programa no Facebook:www.facebook.com/SBTTheNoiteSiga o perfil oficial do programa no Twitter:twitter.com/SBTTheNoiteFacebook:www.facebook.com/SBTTheNoiteSiga o perfil oficial do programa no Twitter:twitter.com/SBTTheNoite"
"cvFext_8vRk","BOLSONARO PODE SER IMPEDIDO PELO STF/MULHER IDENTIFICADA EM VÍDEO","2018-10-31T12:29:27.000Z","UCZcpoE-o9lKEa_F2orF4D3w","Diego Rox Oficial","25","18.01.11","Bolsonaro|politica|Brasil|stf|tse|rosa weber|presidente|bolsonaro presidente|vitoria|resistencia|mulher identificada","480936","111925","1139","12481","https://i.ytimg.com/vi/cvFext_8vRk/default.jpg","False","False","Inscreva - se no canal.*AJUDE O CANAL A CRESCER https://apoia.se/diegorox*https://www.instagram.com/rox.oficial2/*Facebook: https://www.facebook.com/diegoroxusaCANAL DANIEL LOPEZ - https://www.youtube.com/user/daniel4310lagohttps://veja.abril.com.br/politica/tse-vai-decidir-sobre-candidaturas-com-celeridade-diz-rosa-weber/https://www.conjur.com.br/2018-out-28/stf-analisara-bolsonaro-sendo-reu-assumir-cargo-rosahttps://www.oantagonista.com/brasil/pf-identifica-mulher-com-faca-na-festa-de-bolsonaro/"
"WOYOzL_qREI","Chamada Dupla - Capítulo 121 | As Aventuras de Poliana","2018-10-31T13:12:43.000Z","UCYLjErhfpDGHJyZTUVbkLFQ","Central Poliana","24","18.01.11","[none]","217331","13198","197","648","https://i.ytimg.com/vi/WOYOzL_qREI/default.jpg","False","False","Chamada Dupla - Capítulo 121 | As Aventuras de Poliana"
"M5cXtRgZ3a8","Jerry Smith - Vou Falar Pra Tu (Clipe Oficial)","2018-10-31T18:00:13.000Z","UCqjv6WEt42uEHytycGk6ndA","Jerry Smith","10","18.01.11","jerrysmith|jerrysmithoficial|funk|brega funk|funknejo|sertanejo|melhores do funk|mais tocadas|ouvir funk|mix - funk|vou falar pra tu|vai no chão|aquecimento funk|funks para dançar","426563","52433","1214","1602","https://i.ytimg.com/vi/M5cXtRgZ3a8/default.jpg","False","False","® Jerry Smith 2018Ficha TécnicaDireção: MESS SANTOS Assistente de Direção: Nathalia BacciDireção de Fotografia: Mess Santos Produção Geral: Ivo NetoEdição: Paulo Del Angelo Roteiro: Mess SantosDireção de Arte: Nathalia BacciAssistente de Arte: Daniel TrentoDireção de Set: Victor Xavier Coreografia: Fefê KokobunFigurino Jerry Smith: Myrna SeguelFigurino Geral: Ziza CalhauAssistente Figurino: Carol SabinoMake: Patricia MonacoAssistentes Make: Morgana Monaco / Ju PaleselOperador de Câmera: Willian SamurayAssistente de Câmera: Mateus MartinsOperador de Foco: Paulo Del  ngelo Gaffers: Thiago Zumbi / Cristian NascimentoAssistentes Gerais: Jefferson Tube / Henry PachecoCatering: Very Good  Buffet Produtora - Movie3 Filmes  Att.Produção Movie 3 FilmesLETRASenta, sentaOi sentaGostozinho para mimSenta, sentaOi sentaGostozinho para mimEu vou falar pra tu menina, que eu nunca viEu vou falar pra tu menina, alguém dançando assimVai, vai, vai, vai, vai requebrando Vem, vem, vem, vem, vem deslizandoVai, vai, vai, vai, vai requebrando Vem, vem, vem, vem, vem deslizandoSenta, senta, sentaGostozinho para mimSenta, senta, sentaGostozinho para mimEu vou falar pra tu mulher, que essa é a vera Eu vou falar pra tu mulher, então você requebra Vem no pique em O ritmo é assim Envolvente demaisOi senta, senta, sentaGostozinho para mimSenta, senta, sentaGostozinho para mimEu vou falar pra tu menina, que eu nunca viEu vou falar pra tu menina, alguém dançando assimVai, vai, vai, vai, vai requebrando Vem, vem, vem, vem, vem deslizandoVai, vai, vai, vai, vai requebrando Vem, vem, vem, vem, vem deslizandoSenta, senta, sentaGostozinho para mimSenta, sentaOi sentaGostozinho para mimEu vou falar pra tu mulher, que essa é a vera Eu vou falar pra tu mulher, então você requebra Nesse pique emJerry Smith na vozRedes SociaisFacebook: www.facebook.com/jerrysmithoficial/Instagram: www.instagram.com/jerrysmithoficial/Contato para Shows:Juninho Jésus(11) 98541-4391Start Music(11) 2385-6292"
"mFV1Z8-7qOc","TEORIA DO CHAVES - OS 7 PECADOS CAPITAIS","2018-10-30T20:58:21.000Z","UCj0O6W8yDuLg3iraAXKgCrQ","Você Sabia?","24","18.01.11","teoria do chaves|7 pecados capitais|chaves|voce|sabia|vcsabia","2491513","426184","8606","27555","https://i.ytimg.com/vi/mFV1Z8-7qOc/default.jpg","False","False","TEORIA DO CHAVES - 7 PECADOS CAPITAIS"
"4uQi5XvGI1M","Dilsinho - Péssimo Negócio (Ao Vivo)","2018-10-31T18:00:01.000Z","UCkuE_vnt0P4fhzYbLDwDjaQ","DilsinhoVEVO","10","18.01.11","dlsinho|dilsinho oficial|pessimo negocio|dilsinho pessimo negócio|dilsinho pessimo negocio letra|dilsinho pessimo negocio video oficial|dilsinho pessimo negocio dvd|dilsinho pessimo negócio ao vivo|dilsinho dvd terra do nunca|dilsinho dvd 2018|dilsinho 2018|dilsinho musica nova|coraçao me fala dilsinho|como é que você faz um negócio desses|agora dorme com essa|pagode romantico|pagode 2018 lançamento|Dilsinho|Pagode|Péssimo","92848","13237","39","694","https://i.ytimg.com/vi/4uQi5XvGI1M/default.jpg","False","False","Vídeo Oficial de Péssimo Negócio de Dilsinho.Ouça a faixa nas plataformas digitais: https://SMB.lnk.to/PessimoNegocioFicha TécnicaProdução: Agência HitDireção Geral: Agência Hit - Fabio Lopes e Julio LoureiroDireção de Vídeo: Julio LoureiroDireção de Fotografia: Cesio LimaProdução Musical: Bruno Cardoso e Lelê (US3)Cenografia: Agência Hit   Letra de Péssimo Negócio(Bruno Caliman)Precisei de mil frases certas pra te conquistarE de uma só errada pra te perderEu levei tanto tempo pra te apaixonarEm um minuto só perdi vocêConhece alguém que jogou fora um diamante?Loucura, né? Mas eu jogueiQuem já trocou um grande amor por um instante?Burrice, né? Mas eu troqueiCoração me fala, como é que você faz um negócio desses?Trocar um pra sempre por às vezesUma aventura, por uma paixãoPéssimo negócio, coraçãoComo é que você faz um negócio desses?Trocar um pra sempre por às vezesEla falou que não quer mais conversaAgora dorme com essaSiga o Dilsinho nas redes sociais!Facebook: https://www.facebook.com/dilsinhooficialInstagram: https://www.instagram.com/dilsinho/Twitter: https://twitter.com/dilsinhooficialSite Oficial: http://www.dilsinho.net/"
"icEj1KX05tQ","Sérgio Moro é o novo Ministro da Justiça de Bolsonaro?","2018-10-31T16:43:21.000Z","UClrU1uVAT71g5uRrebQOINw","Rei7i","25","18.01.11","[none]","187909","14619","551","775","https://i.ytimg.com/vi/icEj1KX05tQ/default.jpg","False","False",""
"7hlGfeHOYLg","Mônica Toy | Esqueletoys (T06E32) 🎃 Especial Dia das Bruxas 2018","2018-10-31T18:02:14.000Z","UCV4XcEqBswMCryorV_gNENw","Turma da Mônica","1","18.01.11","Mônica Toy|MônicaToy|Mônica|Monica|Turma da Mônica|Turma da Monica|mauricio de sousa|mauricio de souza|brazilian cartoon|monicas gang|monica and friends|cebolinha|cascão|magali|chico bento|desenho|desenho animado|para crianças|dia das bruxas|halloween|esqueletos|bruxas|filime de terror|sansão zumbi","69653","2595","98","207","https://i.ytimg.com/vi/7hlGfeHOYLg/default.jpg","False","False","Gostosuras ou travessuras? Para o Cebolinha, só travessuras já basta, afinal, o objetivo é sempre pegar o Sansão da Mônica, não é mesmo? Além disso, monstros nem existem... Ou existem? 👀 Só sabemos que tudo é possível no mundo dos Toys! #halloween #diadasbruxas 🎃 Playlist de Dia das Bruxas: https://www.youtube.com/playlist?list=PLWduEF1R_tVa6vAjnWaYh7NLmPwcYmvolMônica Toy é uma família de personagens em animação 2D, voltada para o público juvenil e adulto. As características mais marcantes dos principais personagens da Turma da Mônica estão presentes nessa nova linguagem, com mais liberdade e humor.Mônica Toy | Todos os episódios: https://www.youtube.com/playlist?list...*** Esse é o canal OFICIAL da Turma da Mônica e da Mauricio de Sousa Produções. Que tal se inscrever? Aqui tem vídeo toda semana, sempre às 15h! ***Playlist Turma da Mônica: http://bit.ly/playlistturmadamonicaPlaylist Turma do Chico Bento:http://bit.ly/playlistchicobentoPlaylist Mônica Toy: http://bit.ly/playlistmonicatoy-------  ((:B  -------  (;K  --------  K:D  --------  #(..)#  --------Site oficial (tem histórias em quadrinhos lá!): http://www.turmadamonica.com.brGoogle +: http://google.com/+TurmaDaMonicaInstagram: http://instagram.com/turmadamonicaFacebook: https://www.facebook.com/turmadamonicaTwitter: https://twitter.com/turmadamonicaFacebook institucional: http://www.facebook.com/Pôsteres e wallpapers da Turma: http://bit.ly/postersturmadamonica-------  ((:B  -------  (;K  --------  K:D  --------  #(..)#  --------Monica Toy Official channel in ENGLISH/JAPANESE: http:///www.youtube.com/MONICATOYOFFICIALOfficial channel in SPANISH: http://www.youtube.com/MONICAYSUSAMIGOS"
