video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"FREqbJjxFcg","[MPD직캠] 아이즈원 직캠 4K '라비앙로즈(La Vie en Rose)' (IZ*ONE FanCam) | @IZ*ONE SHOW-CON","2018-10-29T15:49:49.000Z","UCTQVIXvcHrR9jYoJ6qaBAow","M2","24","18.01.11","엠넷|Mnet|엠투|M2|MPD|엠피디|Kpop|K-Pop|K팝|아이돌|한국|라이브|Live|Dance|댄스|안무|MPD직캠|엠피디직캠|엠카운트다운|MCOUNTDOWN|엠넷직캠|직캠|엠카|엠카 직캠|MPD FANCAM|팬캠|fancam|mnet|쇼콘|아이즈원|IZONE|IZONE 데뷔|장원영|미야와키 사쿠라|조유리|최예나|안유진|야부키 나코|권은비|강혜원|혼다 히토미|김채원|김민주|이채연|IZONE CONCERT|アイズワン","2236642","63457","4543","6807","https://i.ytimg.com/vi/FREqbJjxFcg/default.jpg","False","False","[MPD직캠] 아이즈원 직캠 - 라비앙로즈 | @IZ*ONE SHOW-CON_2018.10.29[MPD FanCam] IZ*ONE - La Vie en Rose | @IZ*ONE SHOW-CON_2018.10.29#MPD직캠 #MPDFancamMore from #M2? :DFacebook:  https://www.facebook.com/MnetM2/Twitter:       https://twitter.com/M2MPD/Instagram: https://www.instagram.com/M2MPD/"
"lb30_akA8Rs","TWICE YES or YES TEASER E","2018-10-30T14:59:53.000Z","UCaO6TYtlC8U5ttz62hTrZgg","jypentertainment","10","18.01.11","TWICE YES or YES|TWICE YESorYES|TWICE YES YES|TWICE 예스오어예스|TWICE 예스|트와이스 YES or YES|트와이스 YESorYES|트와이스 YES YES|트와이스 예스오어예스|트와이스 예스|YES or YES|YESorYES|YES|예스오어예스|예스|TWICE|트와이스|TWICE teaser E|트와이스 teaser E|트와이스 티저 E|TWICE 티저 E|TWICE 미니 6집|TWICE 6th Mini Album|TWICE M/V|TWICE MV|TWICE Music Video|TWICE 뮤비|TWICE 뮤직비디오|트와이스 MV|트와이스 뮤비|트와이스 뮤직비디오|YES or YES MV|YES or YES Music Video|YES or YES teaser E","2455037","210877","4738","19801","https://i.ytimg.com/vi/lb30_akA8Rs/default.jpg","False","False","TWICE YES or YES TEASER ETWICE Official YouTube: http://www.youtube.com/c/TWICEonAirTWICE Official Facebook: http://www.facebook.com/JYPETWICETWICE Official Twitter: http://www.twitter.com/JYPETWICETWICE Official Instagram: http://www.instagram.com/TWICETAGRAMTWICE Official Homepage: http://TWICE.jype.comTWICE Official Fan's: http://fans.jype.com/TWICEⓒ 2018 JYP Entertainment. All Rights Reserved"
"TtpwQUF9Qps","이재용 충격 선언, 공장은 베트남 본사는 미국으로? / 신의한수","2018-10-31T08:21:25.000Z","UCgOLQwRv1r2m9mhE1tfsn3Q","신의한수","25","18.01.11","[none]","212584","17238","570","1786","https://i.ytimg.com/vi/TtpwQUF9Qps/default.jpg","False","False","이재용 충격 선언, 공장은 베트남 본사는 미국으로? / 신의한수"
"X1xMv_JS444","배달 치킨보다 치킨 빨리 만들기 도전해봤습니다ㅋㅋㅋㅋㅋ","2018-10-29T11:24:05.000Z","UCmzMtXrJgfCqA0rfhz8_P4A","웃소 Wootso","23","18.01.11","웃소|wootso|유형|쿡소|호불호|챌린지|도전|치킨|치킨배달|배달요리|닭|치킨은사랑입니다|웃음코뿔소|웃음|재미|빅잼|꿀잼|우디|우감독|황해리|해리|디투|디투몬스타|고탱|고탱블로그|피글로그|성희|고태후니|태훈|배달치킨 보다 빨리 만들기|치킨 빨리 만들기|치킨 빨리먹기|배달 치킨보다 치킨 빨리 만들기|웃소 배달치킨|웃소 치킨|웃소 치킨 빨리만들기","716882","12145","441","6050","https://i.ytimg.com/vi/X1xMv_JS444/default.jpg","False","False","치킨 배달해서 먹기 VS 직접 만들어서먹기누가 더 빠를까?ㅋㅋㅋㅋㅋㅋ월/목/토를 웃소와 함께! ▶ https://goo.gl/UnQQTU[웃소 업로드 일정]매주 월요일 / 목요일 / 토요일 여러분 폰 안으로 찾아갑니다~ 알람설정 꾹![웃소는?!]웃소 채널은 함께 공감할 수 있는 유형별 공감 영상, 보드게임을 비롯한 다양한 게임 및 챌린지 등 함께 모여 왁자지껄 떠들며 즐기는 모든 웃음을 영상으로 담습니다! 뚜루뚯뚯 뚜뚜뚜루루~ 우~웃소![웃소 멤버들과 멤버들 유튜브 채널]고탱 : http://youtube.com/gotengvideo디투 : http://youtube.com/d2monstar선바 : http://youtube.com/sunbaaking성희 : https://www.youtube.com/channel/UCwdZgECLGRyHszZemaxgXJA우디 : http://www.youtube.com/SuperHDzzz태훈: http://youtube.com/c/고태후니해리 : https://www.youtube.com/user/SeulGiHwang웃소 Wootso홈페이지 http://wootso.com페이스북 http://facebook.com/wootsoteam인스타그램 http://instagram.com/wootso"
"bnEWobzzbNk","[대결] 초코 붕어빵 VS 아이스크림 감자 핫도그ㅣ 길거리 이색 음식 슬라임 만들기ㅣ아빠 VS 딸ㅣ침샘주의ㅣ하루아루TV","2018-10-30T08:00:02.000Z","UCBcFgDKnfyw8GjcHw90MlXA","하루아루 TV Haruaru TV","24","18.01.11","슬라임|SLIME|슬라임만들기|길거리음식|음식슬라임|FOOD SLIME|핫도그|붕어빵|수제슬라임|인스타슬라임|먹방|먹방 ASMR|ASMR|하루|하파|하루파파|대결|구슬아이스크림|초코|이색음식|퓨전음식","175621","1952","123","1104","https://i.ytimg.com/vi/bnEWobzzbNk/default.jpg","False","False","추워진 날씨 따뜻한 길거리 음식이 생각나지 않으세요?그래서 하파와 하루가 길거리 대표음식 붕어빵과 핫도그를 주제로 특이한 재료를 넣어서 이색적인 음식을 만들었다는데요...!과연 누구의 슬라임이 여러분의 침샘을 더 자극시킬까요?"
"BACChxgWrck","[뉴스1] 양진호 회장 '엽기행각' 논란…직원 폭행에 생닭 잡기 강요까지","2018-10-31T03:05:26.000Z","UCHBvfByzuzamrZiL398jopQ","News1","25","18.01.11","양진호|위디스크|생닭|몰카제국|양진호 회장|일본도","109729","130","49","298","https://i.ytimg.com/vi/BACChxgWrck/default.jpg","False","False","(서울=뉴스1) 정윤경 기자 = 위디스크 대표이자 한국미래기술 양진호 회장이 전 직원 A씨에게 무차별 폭행을 가하고 생닭을 사살하라고 강요한 사실이 드러나 파문이 일고 있다.뉴스타파는 31일 ['몰카제국의 황제' 양진호, 일본도로 닭잡기 '공포의 워크숍']이라는 영상을 공개했다. 앞서 30일 공개된 ['몰카제국의 황제' 양진호, 사무실서 前 직원 무차별폭행]의 후속 영상이다.공개된 영상에는 한 직원이 비닐하우스에 있는 닭에게 활을 쏘는 장면이 담겼다. 직원이 닭을 맞추지 못하자 양 회장은 장난해라며 직원에게 욕설을 퍼붓는다. 이어진 영상에는 한 직원이 1m가 넘는 일본도로 허공으로 날아오른 닭을 내려치는 모습이 담겼다. 닭을 죽인 후에는 칼을 들고 인증샷을 찍는 모습도 담겼다.앞서 전날 뉴스타파와 진실탐사그룹 셜록은 양 회장이 지난 2015년 위디스크 사무실에서 전직 직원 A씨를 무차별 폭행하는 영상을 공개했다. 영상에는 양 회장이 A씨를 폭행한 후 미소 짓는 모습도 포착됐다.해당 영상은 양 회장이 직접 촬영을 지시해 기록한 영상으로, 양 회장의 '기념품'인 것으로 전해져 공분을 사고 있다.[저작권자© 뉴스1. 본 콘텐츠를 무단으로 이용, 제3자에게 배포하는 경우 저작권법 등에 따라 법적 책임을 질 수 있습니다.]"
"2xRJUWxhkb4","제한시간은 3분? 핵발암 도전!! 이거 너무한거 아니냐고~ - 브도먹x굽네고추바사삭 - 겜브링(GGAMBRING)","2018-10-31T07:00:01.000Z","UCSOeJWyByeoBHpmrm0NnlLw","겜브링 GGAM BRING","20","18.01.11","병맛|게임|겜브링|ggambring|ggam|bring|sandbox|network|샌드박스|네트워크|갬블링|브링|tv|즐겜|브도먹|브또먹|굽네치킨|치킨|치킨 먹방|mukbang|닭다리 과자|먹방|고추바사삭|굽네치킨 파채|웨지감자|chicken|마블링 소스|고블링 소스","84090","1563","85","769","https://i.ytimg.com/vi/2xRJUWxhkb4/default.jpg","False","False","오랜만에 돌아온 브링의 도전 먹방!!3분 안에 물고기를 낚아라!! 실패하면?!【무료채널구독】 ► https://www.youtube.com/channel/UCSOeJWyByeoBHpmrm0NnlLw?sub_confirmation=1【팬아트 및 팬레터 우후~!】 ► ggambring@sandboxnetwork.net【인스타그램】 ► https://www.instagram.com/ggambringtv【유튜브/트위치 동시생방송 매주 월,수,금 오후 5시】 ► (트위치) https://www.twitch.tv/ggambring【겜브링 TV방영】 ►(시즌2) 애니박스 매주 수/목 오후 4시(시즌1) 애니박스 매주 토요일 오후 4시 30분(시즌1) 애니맥스 매주 수요일 오후 7시* 이 영상은 굽네치킨과 함께합니다."
"m86kaPybJVM","'공포의 회장님' 양진호, 아직 밝혀지지 않은 만행들 / YTN","2018-10-31T06:28:59.000Z","UChlgI3UHCOnwUGzWzbJ3H5w","YTN NEWS","25","18.01.11","YTN|뉴스|사회|뉴스人|투데이 인터뷰|양진호|양진호 회장","110077","880","70","1090","https://i.ytimg.com/vi/m86kaPybJVM/default.jpg","False","False","■ 진행 : 오동건 앵커■ 출연 : 박상규 / 진실탐사그룹 셜록 대표기자, 이웅혁 / 건국대 경찰학과 교수, 손수호 / 변호사[앵커]웹하드 위디스크와 파일노리 실소유주 양진호 한국미래기술 회장의 직원폭행 영상이 논란이 되고 있습니다. 그런 가운데 그의 또 다른 엽기적인 영상이 오늘 추가로 공개됐죠. 참 충격적이었습니다.이번 사건을 세상에 알린 진실탐사그룹 셜록 박상규 기자 이 자리에 모셨습니다. 안녕하십니까?[기자]안녕하세요.[앵커]그리고 이 사건을 좀 더 심도있게 짚어보기 위해서 건국대 경찰학과 이웅혁 교수, 또 손수호 변호사도 함께 모셨습니다. 안녕하십니까?[인터뷰]안녕하십니까.[앵커]우선 이 사건을 모르시는 분들도 있을 테니까요. 어제 충격적인 영상 보셨을 텐데요. 어떻게 보셨습니까?[인터뷰]저는 근본적으로 봐도 형식적으로는 개인적인 폭행화 협박에 불과한 것으로 오해할 수 있지만 이 사건의 경위와 맥락을 보면 사회의 기본 공동체 가치를 해하는 상당히 충격적인 범죄가 아닌가 생각이 되고요. 범죄의 성격으로 봐서는 상당히 권력 확인적 범죄다.즉 자신이 갖고 있는 금권, 자신이 갖고 있는 일정한 인사권, 또 필요한 경우에는 유력 인사와의 연결과 가능한 공권력까지 가능하겠죠. 그것을 결론적으로 확인받고 확증을 받고 싶어하는 비뚤어진 심리가 그대로 투영을 보여주고 있기 때문에 이른바 미생이라고 하는 일반적인 평균인들의 입장에서는 너무나 충격적이고 내가 저렇게 될 수도 있고 나의 가족이 저렇게 될 수도 있다.나의 조카가 될 수 있다고 하는 점에서 사회 공동체 기본 가치를 해하는 점에서 기본 개인적 법의 이 사회의 심각한 범죄가 아닌가 싶습니다.[앵커]왜 그런지 저희가 차근차근 이야기를 나눠보도록 하겠습니다. 그러면 어제부터 그 인터넷상에서 논란이 되고 있는 그 폭행 영상, 사실 이게 너무 심각하게 저희가 편집을 했습니다. 다시 보고 이야기를 나눠가도록 하겠습니다.[양진호 / 한국미래기술 회장 : 니가 뭐했는지 몰라서 그래? XX야.우스워? 너 말로 사람을 그런 거를 뭔지 알아 몰라? 니가 지금. 우스워? 이 XX놈아. 죽을 줄 알아. (죄송합니다.) 똑바로 해.][앵커]저희들이 조금 편집을 했습니다. 인터넷에 들어가시면 뉴스타파에 가면 다 정확하게 보실 수 있는데요. 처음 이 사건을 취재하게 된 박상규 기자와 이야기를 나눠보죠. 어떻게 이 사건 접하게 되었습니까?[기자]2015년도 겨울이었는데요. 양진호 회장과 일했던 직원들이, 퇴사한 직원들이 양 회장의 만행을 고발하고 싶다고 저한테 약간의 자료와 USB를 가지고 찾아왔었습니다.[앵커]어떤 자료였습니까?[기자]그 안에 자료에는 폭행 사건이 담겨있었고요. 그동안 양 회장이 직원들을 상대로 해서 어떤 가혹행위를 했는지 그리고 불법행위를 저질렀는지 모든 것이 망라된 상당히 많은 자료였습니다.[앵커]지금 저희들이 보여드렸던 이 영상도 거기에 담겨 있었던 거죠?[기자]네. 이 영상이 담겨있었고 이 영상 외에도 지금까지 저희가 공개한 두 건의 영상은 사실 양 회장 사건 앞으로 공개될 사건들이 어마어마합니다. 길게 보면 지금까지 공개된 영상은 더 오히려 작은 편에 속합니다.[앵커]그러면 이걸 먼저 선택한 이유가 있을까요?[기자]이 사건을 선택하게 된 것은 먼저 대중들한테, 시민들한테 이 사건의 문제점을 가장 쉽고 충격적으로 전달할 것이라고 생각이 들었고요. 또 하나는 현재 검찰이 수사를 하고 있는 사건이 하나 있는데 그 사건이 진척이 ... (중략)▶ 기사 원문 : https://www.ytn.co.kr/_ln/0103_201810311433019301▶ 제보 안내 : http://goo.gl/gEvsAL, 모바일앱, 8585@ytn.co.kr, #2424▣ YTN 유튜브 채널 구독 : http://goo.gl/Ytb5SZ[ 한국 뉴스 채널 와이티엔 / Korea News Channel YTN ]"
"ZTW7wBlx0O4","한국미래기술 양진호 회장, 전직 직원 무차별 폭행 / 연합뉴스 (Yonhapnews)","2018-10-30T07:54:10.000Z","UCj3_t5p4L4aFsvdW3uHjnnw","연합뉴스 Yonhapnews","25","18.01.11","연합뉴스|yonhapnews|뉴스|영상|이슈|디지털|news|화제|한국미래기술|위디스크|파일노리|실소유주|양진호|회장|무차별|폭행|영상공개|폭력","527590","1770","251","2714","https://i.ytimg.com/vi/ZTW7wBlx0O4/default.jpg","False","False","한국미래기술 양진호 회장, 전직 직원 무차별 폭행(서울=연합뉴스) 신선미 기자 = 양진호 한국미래기술 회장이 웹하드업체 위디스크의 전(前) 직원을 폭행하는 영상이 공개돼 논란에 휩싸였다. 양 회장은 위디스크의 실소유주로 알려졌다.30일 뉴스타파는 양 회장이 지난 2015년 위디스크의 전 직원을 폭행하는 모습을 담은 영상을 공개했다. 영상에서 양 회장은 사무실 안에서 직원으로 보이는 사람에게 욕설하며 무차별 폭행을 가했다. 폭행 뒤에는 사과도 강요했다. 위디스크 관계자는 뉴스타파를 통해 양 회장이 이런 폭행 영상을 찍게 지시하고, 영상을 기념품으로 소장했다고 밝혔다.연합뉴스는 이에 대한 해명을 듣기 위해 양 회장과 한국미래기술, 위디스크 측에 통화를 시도했지만 모두 연락이 닿지 않았다.출처:한국탐사저널리즘센터 뉴스타파◆ 연합뉴스 홈페이지→ http://www.yna.co.kr/◆ 이 시각 많이 본 기사 → https://goo.gl/VQTsSZ◆ 오늘의 핫뉴스 → https://goo.gl/WyGXpG◆ 현장영상 → https://goo.gl/5aZcx8◆ 카드뉴스 →https://goo.gl/QKfDTH◆연합뉴스 공식 SNS◆◇페이스북→ https://www.facebook.com/yonhap/▣ 연합뉴스 유튜브 채널 구독 : https://goo.gl/pL7TmT▣ 연합뉴스 인스타 : https://goo.gl/UbqiQb"
"mBAwXZKu73k","Ep.02 2년 전의 기억 [서울 : 전쟁의 시작]","2018-10-30T06:00:03.000Z","UCkG-Bpd44jV22xkAhzo0n9g","1등 미디어","23","18.01.11","웃찾사|문과1등|이과1등|이그젝틀리|이과젝틀리|김성기|신흥재|코미디|문과이과|김건영|최기영|안시우|볼링 1등|테니스 1등|배그 1등","240613","4705","71","2089","https://i.ytimg.com/vi/mBAwXZKu73k/default.jpg","False","False","예체능 1등은 어떻게 됐을까!그리고 예체능 1등과 충돌한 상대는 누구인가?정보 1등이 알아낸 특급정보?!그 정보는 마스크 4인방도 관련이 있다?영상으로 확인해주세요!*본 영상에는 네모닉 협찬 영상이 포함되어있습니다.BGM 출처Kevin MacLeod의 Action - Scoring Action은(는) Creative Commons Attribution 라이선스(https://creativecommons.org/licenses/by/4.0/)에 따라 라이선스가 부여됩니다.출처: http://incompetech.com/music/royalty-free/index.html?isrc=USUAN1100338아티스트: http://incompetech.com/이 노래를 무료로 사용하고 동영상으로 수익을 창출할 수 있지만 동영상 설명에 다음을 포함해야 합니다.Kevin MacLeod의 Chase - Scoring Action은(는) Creative Commons Attribution 라이선스(https://creativecommons.org/licenses/by/4.0/)에 따라 라이선스가 부여됩니다.출처: http://incompetech.com/music/royalty-free/index.html?isrc=USUAN1100399아티스트: http://incompetech.com/Kevin MacLeod의 Dragon and Toast은(는) Creative Commons Attribution 라이선스(https://creativecommons.org/licenses/by/4.0/)에 따라 라이선스가 부여됩니다.출처: http://incompetech.com/music/royalty-free/index.html?isrc=USUAN1100251아티스트: http://incompetech.com/Kevin MacLeod의 Evening of Chaos은(는) Creative Commons Attribution 라이선스(https://creativecommons.org/licenses/by/4.0/)에 따라 라이선스가 부여됩니다.출처: http://incompetech.com/music/royalty-free/index.html?isrc=USUAN1300041아티스트: http://incompetech.com/Twin Musicom의 The Halloween Dawn은(는) Creative Commons Attribution 라이선스(https://creativecommons.org/licenses/by/4.0/)에 따라 라이선스가 부여됩니다.출처: http://www.twinmusicom.org/song/248/the-halloween-dawn아티스트: http://www.twinmusicom.org"
