video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"i2U4V2FKUWY","15 см не приговор/О плагиате и Рэперах/Творческие планы | Эльдар Джарахов | AGENTSHOW#11","2018-10-31T15:58:59.000Z","UCtGJ_XI0ZGwEmKZaj3VQITw","Настя Ивлеева","22","18.01.11","#НАСТЯИВЛЕЕВА|#AGENTGIRL|#AGENTSHOW|#DJARAXOV|#эльдар джарахов|#KOVAL","540477","37314","2302","1645","https://i.ytimg.com/vi/i2U4V2FKUWY/default.jpg","False","False","ссылка на альбом Эльдар Джарахова: https://band.link/ROCKnROFL____________________________________________________________Социальные сети по которым также можно насладиться творчеством горячей блондинки: https://www.instagram.com/_agentgirl_/https://www.instagram.com/nastyaivleeva/https://vk.com/ivlei"
"SUvbRpZZDq4","Маша и Медведь - Halloween с Машей!🎃 Самые страшные серии","2018-10-31T10:45:00.000Z","UCRv76wLBC73jiP7LX4C3l8Q","Маша и Медведь","1","18.01.11","МашаМедведь|Мультфильм|новый сезон|masha and the bear|cartoons|new cartoons|про машу|мультик маша|все серии подряд|новая серия|премьера|маша и медведь|мультик|мультики|masha i medved|мультики онлайн|мультфильм смотреть|мультики смотреть|маша смотреть|мультик про машу|интересные мультики|для детей|маша и медведь все серии|новые серии|онлайн мультик|мультики новинки|маша и медведь новые серии 2018|приключения|друзья|хеллоуин|halloween|страшилки","1016793","6725","1399","679","https://i.ytimg.com/vi/SUvbRpZZDq4/default.jpg","False","False","Веселый Хэллоуин с Машей!🎃Самые страшные серии мультфильма Маша и Медведь«Маша и Медведь» - это самый популярный российский мультсериал для всей семьи, рассказывающий о дружбе бывшего циркового артиста Медведя и маленькой веселой хулиганки Маши, которая не дает скучать не только ему, но и всем лесным жителям.Подпишись на Машу в Инстаграм: http://instagram.com/mashaandthebear/http://www.mashabear.ru - Официальный сайт Маша и МедведьМаша и Медведь ВКонтакте - http://vk.com/mashaimedvedtvMasha And The Bear Facebook - http://facebook.com/MashaAndTheBearВот как бывает! 🐵 https://youtu.be/mpTpC7wJbc0Случай на рыбалке 🧜  https://youtu.be/HoEa6rJKEA0Вот такой хоккей! 🏒 https://youtu.be/6CrXlSaIbAI🚀 Звезда с неба: https://youtu.be/ZMB70xIEzMYСмотрите все серии Маша и Медведь, Машины Сказки, Машкины Страшилки онлайн на нашем канале YouTube! Машкины Страшилки: http://goo.gl/a7wwUOМаша и Медведь: http://goo.gl/UI7Ed7Машины Сказки: http://goo.gl/ljJ1XzMasha and The Bear. All episodes playlist: http://goo.gl/sqBrYdماشا والدب. جميع الحلقات : http://bit.ly/Masha-ArabicMasha e Orso. Tutti gli Episodi: http://bit.ly/Masha-OrsoMasha y el Oso. Todas las series: http://bit.ly/MashaOsoMasha et Michka. Tous les épisodes: http://bit.ly/MashaMichkaMasha e o Urso. Lista de reprodução: http://bit.ly/mashaursoMascha und der Bär. Alle Folgen: http://bit.ly/mascha-und-der-baer瑪莎與熊. 全部影集: http://bit.ly/MashaTaiwanМаша и Медведь. Все серии подряд: http://bit.ly/MashaMedvedКомпозитор: Василий Богатырев"
"BpJA_Xh75as","Мот — По Буквам (премьера клипа, 2018)","2018-10-30T08:57:21.000Z","UCKKsIRc-1LytrgiPLTKmNDQ","МОТ","10","18.01.11","блек стар|блэк стар|блекстар|блэкстар|blakc star|blackstar|мот|mot|по буквам|по буквам клип|мот по буквам|мот по буквам клип|мот клип|мот с женой|мот с машей|мот с сыном|мот соло|капкан|мот капкан|когда исчезнет слово|мот трилогия|финал трилогии мот|мот разводится|жена мота беремена|последний клип|последний клип мота|премьера|премьера клипа|новый клип мота|премьера клипа мот","1634615","82872","6495","4325","https://i.ytimg.com/vi/BpJA_Xh75as/default.jpg","False","False","Слушай и скачивай трек здесь: http://black-star.ru/mmott23Предзаказ билетов на большой концерт Мота в Москве:        http://mot.black-star.ruDirector Kate Yak @kate_yakDirector of Photography Vitaly SechenovProducer Irina LaptevaLine producer Max Artemenko1st AD Jesika StarikovaCasting director Dima BokhanovLocation manager Denis IordanovAdministration Dmitriy Vlasov, Alexander LubenkoAssistant Alina Smirnova1st AC El Gladnikov / Alexander Karasev2nd Assist Andrey VotinovProduction designer Svetlana Barmina & Nikita PozdnyakovArt department Yuri Barmin, Artem SolovevStyle Olga Bobrova, Yuliya Golovenko, Ekaterina Ivanilova, Elvina ZiganshinaMake Up Oksana LaskinaGaffer Ildar Nizametdinov http://tvtok.ruLight department Maxim Sincov, Sergey Furman, Alexey Sybahov, Fauzi Suleymanov, Rustem Islamov, Valery Lamanov, Dmitriy GabyshevCrane Vladimir AbramovSteadicam Stanislav VaganovEditor Alexander LokotkovColor Timofey GoloborodkoCG Artists Konstantin Evtuhov, Alexander Drinevskiy, Alexander Shilo, Gennady Safronov, Yaroslav OksutaMusic prod. by TeejayMix by 90210Благодарим Даши Намдакова и Ильдара Гиньятова  !----------------------------------------------------------Организация концертов: Тел.: +7 (965) 407-79-77 (Лилия); motbooking@black-star.ruМот в соц. сетях:VK.COM - http://vk.com/motmusicInstagram - http://instagram.com/mmott23Twitter - http://twitter.com/mmott23Facebook - https://www.facebook.com/mmott23Одноклассники: http://ok.ru/mmott23----------------------------------------------------------Все новости об артистах Black Star:http://black-star.ruВКонтакте: http://vk.com/blackstargroupInstagram: http://instagram.com/blackstarofficialTwitter: https://twitter.com/black_star_ruFacebook: https://www.facebook.com/Blackstarmsk------------------------------------------------------------Global Star Russia - интеграция брендов в проекты артистов / Product Placement / http://www.globalstarrussia.com / +7 903 181 49 39-----------------------------------------------------------Фирменный магазин одежды Black StarИнтернет-магазин: http://blackstarshop.ruInstagram: http://instagram.com/blackstarwearВКонтакте: https://vk.com/blackstarwearFacebook: https://www.facebook.com/blackstarwearСлушай все хиты Мота на Black Star Radio: http://bsradio.ruПодпишись на соц. сети Black Star Radio:Вконтакте: https://vk.com/blackstar_radioInstagram: https://www.instagram.com/blackstar_radio"
"CNJmCUv8xoI","Мой маленький пони 4/7. Мультик Летучие мыши!","2018-10-31T11:35:29.000Z","UCWaCaCyWgPk6uwKh66fl_0A","Дружба - это чудо!","1","18.01.11","май литл пони|дружба это чудо|литл пони|май пони|пони мультики|пони дружба|смотреть пони|пони это чудо|пони дружба это чудо|мультики|мультфильмы|мультики для детей|мультфильмы для детей|мультики для девочек|мультфильмы для девочек|мультики для малышей|мультфильмы для малышей|mlp|радуга|рарити|флаттершай|эппл джек|искорка|пинки пай|пони 4 сезон|лучшие мультики|Флати|летучая мышь|оборотень|пони|млп","145969","2472","122","511","https://i.ytimg.com/vi/CNJmCUv8xoI/default.jpg","False","False","Мой маленький пони 4 сезон, 7 серия. Мультик Летучие мыши! Литл Пони Флаттершай превратилась в летучую мышь! Ее подруги пони очень испугались, ведь очевидно, что помочь ей будет не так-то просто. Смотрите, вернется ли к ним их милая Флаттершай или же она так и останется летучей мышью, в мультфильме Май Литл Пони на канале Дружба - это чудо онлайн!Подписывайся на канал Дружба это Чудо, чтобы не пропустить новые мультики про Литл Пони про Пет Шоп https://www.youtube.com/c/FriendshipisMagicRU?sub_confirmation=1Смотри и другие интересные мультсериалы онлайнhttps://www.youtube.com/watch?v=CQeRsT-HhaU&list=PLAPIZDiVa7x70c3eeKE-lcAonwJvsPigy&index=1"
"mQyGwLfrORo","КОРОЧЕ ГОВОРЯ, ОДИН ДОМА на ХЭЛЛОУИН [От первого лица] | Halloween","2018-10-31T10:00:35.000Z","UCK8o7PWlBPbzhajib_P7FKg","ИККЕРО","22","18.01.11","короче говоря|короче|короче говоря один дома|короче говоря хэллоуин|короче говоря остался один дома|короче говоря один|короче говоря один день|один дома|остался один дома|один день|хэллоуин|хеллоуин|хелоуин|хеловин|halloween|короче говоря лицо иккеро|реакция иккеро|лицо иккеро|от первого лица|КОРОЧЕ ГОВОРЯ ОДИН ДОМА|КОРОЧЕ ГОВОРЯ ХЭЛЛОУИН|КОРОЧЕ ГОВОРЯ ХЕЛЛОУИН|КОРОЧЕ ГОВОРЯ ЛИЦО ИККЕРО|иккеро|ikkero|юмор|тренды|rjhjxt ujdjhz|rjhjxt","446706","24390","656","11602","https://i.ytimg.com/vi/mQyGwLfrORo/default.jpg","False","False","КОРОЧЕ ГОВОРЯ, ОДИН ДОМА на ХЭЛЛОУИН [От первого лица] | HalloweenКороче, это было 31 октября, день, когда весь мир отмечает праздник всех святых - Хэллоуин, Halloween. Я решил его тоже отпраздновать, приготовил тыкву, а мама ушла, короче говоря, один дома на хэллоуин. Все было хорошо, до определенного момента, пока я не услышал шорох на втором этаже.Что было дальше - смотри в этом видео от первого лица.ПОСМОТРИ ЕЩЕ МОИ ВИДЕО В ЭТОМ ФОРМАТЕ:КОРОЧЕ ГОВОРЯ, Я ПОЛУЧИЛ ДВОЙКУ - https://youtu.be/dLhBg_3BFbEКОРОЧЕ ГОВОРЯ, Я КУКИ - https://youtu.be/NXjoXEJQYDwКОРОЧЕ ГОВОРЯ, Я НАРИСОВАЛ РИСУНОК - https://youtu.be/U84zng9lT5wКОРОЧЕ ГОВОРЯ, Я ВСТРЕТИЛ ИВАНГАЯ - https://youtu.be/FB_sXxQSe7cКОРОЧЕ ГОВОРЯ, Я ПОЛУЧИЛ ПЯТЕРКУ - https://youtu.be/IoG8wiGDq5AВСЕМ ПРИВЕТ! меня зовут Иккеро и я снимаю видео в формате КОРОЧЕ ГОВОРЯ от первого лица. Я объеденил два популярных формата: #корочеговоря, который вы могли видеть на каналах - Room factory, Тим Тим, OneTwo и Mak и #отпервоголица, который вы могли видеть на канале Black Horse.Очень надеюсь, что вам понравится и я попаду в тренды! Поставь лайк и подпишись на канал, ведь так я чувствую твою поддержку! СПАСИБО =)Я В СОЦИАЛЬНЫХ СЕТЯХ:-Мой VK: https://vk.com/ikkero-INSTAGRAM: https://www.instagram.com/ikkeroo-TWITTER: https://twitter.com/ikkeroo-ГРУППА ВК: https://vk.com/ikkeroo#ИККЕРОМузыка в видео :Music by Tobu and Itrohttp://www.7obu.comhttp://www.youtube.com/tobuofficialhttp://www.facebook.com/tobuofficialProduction music courtesy of epidemic sound!"
"aDJmxSaj7bg","Школьницы упали с большой высоты в столичном ТЦ - Москва 24","2018-10-31T06:00:01.000Z","UCIme7og-uTpdRXRgm0zzA2A","Москва 24","25","18.01.11","м24|москва|московские новости|столица|новости столицы|собянин|последние новости|москва 24|m24|москвичи|новости|видео|Роман Карлов|происшествия|новости москвы|дтп|происшествия в москве","215979","798","1182","907","https://i.ytimg.com/vi/aDJmxSaj7bg/default.jpg","False","False","Подписывайтесь на наш канал в YouTube: https://www.youtube.com/user/infomoscow24?sub_confirmation=1Две девочки упали с большой высоты в торговом центре в столице – Москва 24Москва 24 - это новости 24 часа в прямом эфире. Наши корреспонденты освещают все важные события города. Политика, экономика, спорт, юмор, погода, интервью, специальные репортажи, происшествия и многое другое вы увидите первыми в прямом эфире.Мы в социальных сетях:Вконтакте: https://vk.com/infomoscow24Twitter: https://twitter.com/infomoscow24Facebook: https://www.facebook.com/infomoscow24/Instagram: https://www.instagram.com/infomoscow24/Одноклассники: https://ok.ru/moskva2Смотрите также: Новости города — https://www.youtube.com/playlist?list=PL9pY7JQfnA9rVtcl-DF8sQD5f3WUUXq2MГородской репортаж — https://www.youtube.com/playlist?list=PL9pY7JQfnA9oyxInMKPgWF55rXjQ_hpl_Рулевые Игры — https://www.youtube.com/playlist?list=PL9pY7JQfnA9qA77X3k98w2vVgnQIfuFBEСделано в Москве — https://www.youtube.com/playlist?list=PL9pY7JQfnA9rd5a1E4V4kXpjefdiAX1gKПрямо и Сейчас — https://www.youtube.com/playlist?list=PL9pY7JQfnA9pjjVHABlm4q-L1DoDZ7jVZСпециальный репортаж — https://www.youtube.com/playlist?list=PL9pY7JQfnA9qyg0lМосква с акцентом — https://www.youtube.com/playlist?list=PL9pY7JQfnA9qu4lGh_T1Hgt5lgj5tRsT7Безопасность — https://www.youtube.com/playlist?list=PL9pY7JQfnA9qnnGbiHZ0grPlesxbxBlmJДо Звезды — https://www.youtube.com/playlist?list=PL9pY7JQfnA9rsFE13UzFzlcnYGbxCvd6jПрофилактика — https://www.youtube.com/playlist?list=PL9pY7JQfnA9rgHP6MM0PVgo1T05wREffnБез купюр — https://www.youtube.com/playlist?list=PL9pY7JQfnA9oHj6oj7bNDOFaGM-fv3bXWФанимани — https://www.youtube.com/playlist?list=PL9pY7JQfnA9rq9SewaRrGjNx-srAYVwOJТопСеть — https://www.youtube.com/playlist?list=PL9pY7JQfnA9o65iO8rGiQvBzW2b1GDTcfИ о погоде — https://www.youtube.com/playlist?list=PL9pY7JQfnA9pWzBGpZlXoHFcZerHG-a7cВ Теме — https://www.youtube.com/playlist?list=PL9pY7JQfnA9q9cxAlnOMFTMkSFlIruf4PКрыша 24 — https://www.youtube.com/playlist?list=PL9pY7JQfnA9o6ktS2JM9Dv51XT0bSTZW3ОК на связи — https://www.youtube.com/playlist?list=PL9pY7JQfnA9p-7iZQcPWNVwUzMevehfsCРеволюция потребления — https://www.youtube.com/playlist?list=PL9pY7JQfnA9rvAeV90DNBdifVyEimMqGNИнтервью — https://www.youtube.com/playlist?list=PL9pY7JQfnA9r9BEsNkaK6NE_nWpgp9TdgПознавательный фильм — https://www.youtube.com/playlist?list=PL9pY7JQfnA9oLnGL6k1VY97Y7DgNpDan8Без церемоний — https://www.youtube.com/playlist?list=PL9pY7JQfnA9qXK_2b9-rIfd_XQ8pzeGPpИгропром — https://www.youtube.com/playlist?list=PL9pY7JQfnA9rjPPWdGe5IFJY5N5TNpR5ZВажная персона — https://www.youtube.com/playlist?list=PL9pY7JQfnA9qWSDN6abILboWWGe-ic1tuНаизнанку — https://www.youtube.com/playlist?list=PL9pY7JQfnA9odkv-iPN7xcXgF--pCBGNKИстории Героев — https://www.youtube.com/playlist?list=PL9pY7JQfnA9o3M8Lf7WQTsobCvxnOtQAdПонаехали — https://www.youtube.com/playlist?list=PL9pY7JQfnA9oN9PqShf3eCxkbsDep5Ydf"
"Z3-qDMAYzdg","14 фокусов и трюков, чтобы удивить друзей","2018-10-31T12:00:08.000Z","UCA8x119TMd1esbI3woeIbQg","Трум Трум СЕЛЕКТ","26","18.01.11","фокусы и трюки|опыты с арбузом|необычные фокусы|фокусы с арбузом|новые фокусы|интересные фокусы|ловкость рук|иллюзии|трюки|ловкие трюки|фокусы для начинающих|фокусы для новичков|фокусы для девушек|фокусы чтобы удивить друзей в школе|простые фокусы чтобы удивить друзей|фокусы чтобы удивить одноклассников|фокусы|удиви друзей|своими руками|простые фокусы|как удивить|как удивить друзей|фокусы с пальцами|фокусы с купюрами","238267","4685","394","690","https://i.ytimg.com/vi/Z3-qDMAYzdg/default.jpg","False","False","Подписывайся на канал: https://goo.gl/EhngTP22 лайфхака для рисования и хендмейда: https://youtu.be/H65YO2p5aLk?list=PLJTrPxyqh-tLeI8xXChakkR-AvDcPjWGcБыть настоящим фокусником, оказывается, не так уж и сложно! Приготовься, ведь после просмотра этого видео ты научишься выполнять трюки с купюрами, картами, платками. Впрочем – хватит болтать, скорее смотри наше новое видео!Материалы и инструменты:• спичечный коробок;• карандаш;• ножницы;• желатин; • мука; • вода;• пластилин;• лак для ногтей;• пудра для лица;• полиэтилен;• нитки;• стеклянная бутылка;• фальшивые банкноты;• платки;• бокал;• теннисный мячик;• фен;• картонная коробка;• зеркальце;• зип-пакет;• разные мелкие безделушки;• игральные карты;• плотные веревки.А также верный друг/помощник/ассистент!Музыка:Track: NIVIRO ft. PollyAnna - Fast Lane [NCS Release]Music provided by NoCopyrightSounds.Watch: https://youtu.be/DqUQW3xyQ1cFree Download / Stream: http://ncs.io/FastLaneYOБольше интересного на Трум Трум Селект: Самые популярные видео:19 лайфхаков, которые облегчают жизнь: https://goo.gl/uBxZw514 смешных пранков для друзей: https://goo.gl/myCqjjСъедобная канцелярия! 16 смешных пранков над друзьями: https://goo.gl/WCj1Mi19 трюков, чтобы удивить друзей: https://goo.gl/6uyaRq14 лайфхаков с термоклеем для хендмейда: https://goo.gl/CCkCgNСамые популярные плейлисты:Лучшие фокусы и трюки: https://www.youtube.com/playlist?list=PLJTrPxyqh-tIIVI8j0yeGyppGjmnFfdPMЛучшие пранки: https://www.youtube.com/playlist?list=PLJTrPxyqh-tIqj_mFORuJzsapX49_s0iLНазад в школу: https://www.youtube.com/playlist?list=PLJTrPxyqh-tKl064Ifn-Qm5ygLXVDPNdDЛучшие лайфхаки: https://www.youtube.com/playlist?list=PLJTrPxyqh-tLeI8xXChakkR-AvDcPjWGcСамодельная косметика: https://www.youtube.com/playlist?list=PLJTrPxyqh-tJqOr1_3k_545My7M4u0I_6★ Давай дружить: Подписывайся на канал: https://goo.gl/Rgj4uBFacebook | https://www.facebook.com/troomtroom.rus Вконтакте | http://vk.com/troomtroom Pinterest | https://www.pinterest.com/troomtroomru Instagram | https://www.instagram.com/troomtroomru/Troom Troom English: Подписывайся: https://goo.gl/KM3AxwTroom Troom Español: Подписывайся:  https://goo.gl/RL3cF2Troom Troom Française:Подписывайся: https://goo.gl/1LHrhXTroom Troom Deutsch:Подписывайся: https://goo.gl/qoFyJ4Troom Troom Japanese:Подписывайся:   https://goo.gl/x3V8HHTroom Troom Chinese:Подписывайся: https://goo.gl/T9B6oFTroom Troom Português:Подписывайся: https://goo.gl/Z6vdNCО канале Трум Трум Селект: Простые мастер-классы - как сделать своими руками классные поделки! У нас на канале вы найдете мастер-классы по скрапбукингу, плетению из газетных трубочек, поделки из папье-маше и многое другое. Сделайте это легко! Make it easy!По вопросам сотрудничества пишите на:  troomtroom.ru@gmail.comВопрос дня: какой фокус тебе больше всего понравился? Пиши в комментариях!Не забудь подписаться, нажать на колокольчик рядом с подпиской, ставить лайки и делиться видео с друзьями!"
"xK54ojFKnpk","ПОСЛЕДНИЙ ПРЫЖОК В КРУГАХ | Все-таки Бабешкин допрыгался...","2018-10-31T11:09:11.000Z","UC0qfFtXolx1UrElt2kd1niA","Вадим Бабешкин","17","18.01.11","прыжки в воду|как прыгать в воду|плавание|бассейн|вадим бабешкин|акваблогер|экстрим|прыгнул в круг|в кругах|круг|плавательный круг|на круг|сальто|сальто назад|плашмя|пластом|10 метров|не долетел|упал с высоты в воду|упал с вышки","176730","11867","349","663","https://i.ytimg.com/vi/xK54ojFKnpk/default.jpg","False","False","Все пошло не по плану. Нереальный прыжок в кругах. Этот #челлендж был самым страшным на канале. Никогда бы не поверил, что такое вообще возможно.Канал спонсора: https://goo.gl/pz6TmJПодпишись на Инстаграм Вадима Бабешкина: https://www.instagram.com/babeshking/▶ Посмотри все видео со СТРАШНЫМИ прыжками: https://goo.gl/vJaZdi▶ Посмотри, как я скидываю КРАСИВЫХ девушек: https://goo.gl/dz9zc3Подпишись на второй канал: https://www.youtube.com/user/Babeshking - там я рассказываю о своей жизни, тренировках, объявляю результаты конкурсов + там будут стримы и  разный эксклюзив.Про автора:Меня зовут Вадим Бабешкин (Акваблогер), я мастер спорта по прыжкам в воду, чемпион Европы по клифф-дайвингу (2015), живу в Санкт-Петербурге. Вне спорта я закончил универ и долгое время проработал руководителем в разных интернет-проектах, но в этом году внезапно все бросил и решил полностью посвятить себя спорту и блогу. Путешествую по разным странам, делаю различные трюки и эксперименты, челленджи с нереальных высот.Помимо прочего, являюсь президентом федерации прыжков в воду Санкт-Петербурга и дико топлю за эффективное развитие спорта.ОСТОРОЖНО! ЭТОТ КАНАЛ МОТИВИРУЕТ 🙂Production Music courtesy of Epidemic Sound"
"naZJks6qkxc","Путин отказался подписывать закон о пенсионной реформе | Pravda GlazaRezhet","2018-10-31T10:32:44.000Z","UCgCqhDRyMH1wZBI4OOKLQ8g","Pravda GlazaRezhet","22","18.01.11","Pravda GlazaRezhet|правда глаза режет|Путин|Россия|РФ|Политика|экономика|новости|правда|факты|Закон|Законопроект|Путин подписал|СМИ|Президент|Путин подписывает|подпись Путина|пенсионная реформа|повышение пенсионного возраста|последние новости|пенсионный возраст|реформа|путин новости|Путин не подписал|Путин не подписывает|ложь|срочные новости|обман|Путин видео|Новости России|Герб|Печать|подпись|президент|разоблачение","208380","13461","1451","3417","https://i.ytimg.com/vi/naZJks6qkxc/default.jpg","False","False","На телевидении и в газетах объявили, что Путин подписал закон о пенсионной реформе.Но всё это ложь, Путин его не подписывал. Каждый может это проверить на официальном интернет портале.Существует три грубых нарушения закона, каждое из которых делают его недействительным.ФЗ №350 О внесении изменений в отдельные законодательные акты Российской Федерации по вопросам назначения и выплаты пенсийhttp://publication.pravo.gov.ru/Document/View/0001201810030028?index=0&rangeSize=1ФЗ №5 О порядке опубликования и вступления в силу федеральных конституционных законов, федеральных законовhttp://pravo.gov.ru/proxy/ips/?docbody=&nd=102030627&intelsearch=N+5-%D4%C7ФКЗ №2 О Государственном гербе Российской Федерацииhttp://pravo.gov.ru/proxy/ips/?docbody=&firstDoc=1&lastDoc=1&nd=102068969ГОСТ Р 51511-2001 Печати с воспроизведением Государственного герба Российской Федерацииhttp://docs.cntd.ru/document/1200028901Правила оформления документов в Администрации Президента Российской Федерацииhttp://docs.cntd.ru/document/901758791Антифейк видео разоблачителя. Такое УГ надо еще поискать. https://www.youtube.com/watch?v=8QNRaxEmdAsYoutube: https://www.youtube.com/c/pravdaglazarezhetVK: https://vk.com/pravdaglazarezhetОК: https://ok.ru/pravdaglazarezhetFacebook: https://www.facebook.com/PravdaGlazaRezhet/Twitter: https://twitter.com/PGRTVПодпишитесь на запасной канал Pravda GlazaRezhet Zapasnoy https://www.youtube.com/channel/UCWZ8dp1sFde-3ZQA8XThAhgВы можете поддержать меня не только добрым словом:ЯД: 410012950237581 WebMoney: R066909345176 / Z687982563393Перевод Вконтакте: https://vk.com/dimagruntBitcoin: 1J4SrXKhrjzh8oNyYSt7Cwf5PVt78RFjNnBitcoin Cash: qzajpa7gawr4k8m44lc7tjrrrqgmkex7ny85uwc727Ether: 0xA7B53526C3bDD959C8BC75617402d5525508a918Путин не подписывает законыПрезидент не подписывает законыПутин подписал закон"
"I_tg2vV3Q8g","УГРОЗЫ ОТ ЛЕВ ПРОТИВ ПОСЛЕ ВИДЕО / FACE НАЕХАЛ НА БЛОГЕРОВ?","2018-10-31T15:00:41.000Z","UCNb2BkmQu3IfQVcaPExHkvQ","SOBOLEV","22","18.01.11","соболев|sobolev|лев против|разборка|конфликт|тренд|ютуб|ютубер|новости|face|face бургер|face новый альбом|фэйс|марьяна ро|maryana ro|cmh|кашин|даня кашин|дисс на фейса|лазутин|рейд|разоблачение|трансформатор|разоблачение трансформатора|портнягин","1042943","149615","7713","5797","https://i.ytimg.com/vi/I_tg2vV3Q8g/default.jpg","False","False","Я все равно тебя найду - угрозы от Лев Против после последнего ролика набирают обороты! На что обиделся Лев?FACE наехал на блогеров после концерта? Трансформатор запугивает разоблачителей?INSTAGRAM: https://www.instagram.com/sobolevv/Я в VK: https://vk.com/sobolevbroСпасибо лучшему прокату оборудования в Питере: http://kino.rent/ru/Рекламные вопросы: sobolev@wildjam.ruВсе размещенные в видеоролике материалы были использованы исключительно в новостных и критических целях, а не для того, чтобы оскорблять и унижать. Здесь вам не #ларинпротив."
